,distance_km,pickup_hour,fare_per_km,is_weekend,is_rush_hour,passenger_count,fare_amount,pickup_latitude,pickup_longitude
14876195,0.9655252734444464,11,5.696381183662982,1,0,1,5.5,40.733055114746094,-74.00658416748048
31568493,6.213737124600091,14,2.33353933538558,0,0,3,14.5,40.756023,-73.98658499999999
18097377,1.6107084877471805,8,5.0288429356506805,0,1,1,8.1,40.757852,-73.990189
2025100,3.636368846615157,0,3.987494286641753,0,0,2,14.5,40.75459671020508,-73.98394775390625
32182727,2.858213228549406,23,4.198427143271677,0,0,1,12.0,40.705367,-73.950018
24780265,2.343305179572932,12,3.4566560389185956,0,0,2,8.1,40.760158,-73.981459
16772322,1.232896462774694,15,4.461039646120795,0,0,3,5.5,40.762365,-73.979567
52567405,1.357308323866365,8,4.199487986460767,0,1,1,5.7,40.729784,-73.991764
33247488,2.383148683835705,11,3.147096969178047,1,0,1,7.5,40.738035,-74.00818199999999
35887975,1.6779649477952028,10,4.76768004630357,0,0,1,8.0,40.750321,-73.99511600000001
3540666,0.9920382816813899,14,4.536115272056862,0,0,1,4.5,40.776676,-73.952663
19527207,10.502122616630398,2,2.1424240433424986,1,0,5,22.5,40.719193,-74.00510799999999
20714594,3.2870436805388095,6,4.259146321324557,0,0,1,14.0,40.750885,-73.991015
16620416,1.6812027541162835,10,4.580054357600353,0,0,1,7.7,40.749916,-73.987773
38091527,4.403431989670581,10,2.475341966350075,0,0,1,10.9,40.755069,-73.984055
11069651,0.8849404916201224,12,5.085087689638357,0,0,3,4.5,40.757847,-73.978287
26719910,21.941115334687698,10,2.612902722833074,1,0,1,57.33,40.645455,-73.776534
35785436,3.185291264325995,18,3.4533733612356454,0,1,1,11.0,40.71843338012695,-74.0053482055664
43982904,1.5190373637801295,23,5.0689997386493015,0,0,2,7.7,40.760989,-73.983133
18839878,1.7757224991875677,7,4.336263128683068,0,1,2,7.7,40.782338,-73.980168
46004693,0.5438866534649882,20,6.986749860087564,0,0,1,3.8,40.778711,-73.982124
44867076,6.601078769953115,18,2.438995285631829,1,1,2,16.1,40.785858000000005,-73.97261999999999
32313132,3.700135816787606,10,3.0539419522741915,0,0,1,11.3,40.75103,-73.98683
19142251,3.4869475062509108,4,2.724445946768551,1,0,2,9.5,40.759172,-73.96690799999999
23105970,11.07581120140751,1,0.9841265620900826,0,0,1,10.9,40.733708,-74.00253199999999
50002445,1.876726312887071,19,3.2503407439393945,0,1,1,6.1,40.737805,-73.989974
15511691,20.199437447430743,15,2.4540287386223736,1,0,4,49.57,40.644998,-73.791172
47708081,2.6141877528262136,10,4.399071944074133,0,0,2,11.5,40.762162,-73.97005300000001
45455879,2.190601795599255,1,3.651964504033259,0,0,6,8.0,40.732312,-74.00161999999999
34245703,1.4383315061187438,19,4.519125092058841,0,1,1,6.5,40.737809000000006,-73.992094
43082798,3.026938996125223,23,2.6759706787513027,0,0,1,8.1,40.784128,-73.954403
44004065,2.82087156443257,23,3.0132531048820757,1,0,1,8.5,40.722463,-73.993452
43912377,2.5773742692603223,20,3.6859217977396797,0,0,1,9.5,40.761547,-73.99413
41339702,1.9002995239707106,17,4.472979071340867,0,1,5,8.5,40.76238,-73.969373
11778965,2.6597230346343514,12,4.549345868887984,0,0,1,12.1,40.765223,-73.965963
3150581,2.449999708027676,10,3.2653065115833186,0,0,1,8.0,40.771657,-73.946925
29937505,1.3092684124984653,11,9.547316562954697,0,0,5,12.5,40.77658081054688,-73.96070098876955
33879258,1.616007413306181,14,3.403449733406593,0,0,1,5.5,40.72818,-74.00741
52528397,3.690976253242316,2,2.7093103054281533,1,0,1,10.0,40.732547,-74.00191600000001
3937286,7.216757224804262,15,1.953786106526873,1,0,2,14.1,40.828857,-73.948836
41195402,2.08263496924483,10,3.84128765632934,0,0,1,8.0,40.746462,-74.00145400000001
30561819,3.345095565056348,15,4.185231700477344,0,0,3,14.0,40.72762,-73.98824300000001
9375420,1.2144056237832759,10,5.023033392250341,1,0,1,6.1,40.78311,-73.978093
2712471,1.747507461644463,22,3.490686096561611,1,0,1,6.1,40.763362,-73.979005
46494076,4.46798459131266,10,2.7976819849165135,1,0,1,12.5,40.791875,-73.9529
54510934,0.6273805945858585,22,8.44782265460186,1,0,1,5.3,40.729884000000006,-73.990418
50306880,1.933854372779585,14,5.688122205494399,0,0,1,11.0,40.746423,-73.985743
23243997,1.0292841953854224,13,6.800842790925011,0,0,2,7.0,40.766267,-73.99024
35229564,1.7366500833025442,15,4.030748662210797,1,0,2,7.0,40.75213623046875,-73.98252868652342
4353470,0.8554118435298069,12,5.7282349280791305,1,0,3,4.9,40.744725,-73.987072
34581082,2.4606495247886517,2,2.64157895487302,0,0,2,6.5,40.769159711087,-73.988314107203
11325660,0.43101446375541547,15,8.584398694563557,0,0,1,3.7,40.76167,-73.96662099999999
1963822,1.1436491327978946,0,3.2352579946859135,1,0,2,3.7,40.780592,-73.949913
45510046,6.072021370936205,23,2.5526919378431234,0,0,1,15.5,40.757087,-73.98573499999999
36074927,3.498195066507806,0,2.772858521489872,0,0,2,9.7,40.753555,-73.981072
19872282,3.4507519916607725,14,3.332606929675435,0,0,1,11.5,40.77251052856445,-73.9587173461914
18067411,3.1067497328805573,8,7.725115333878974,0,1,1,24.0,40.766368,-73.979776
16221706,0.8804018089970564,22,4.656964533808344,0,0,2,4.1,40.749683000000005,-73.991252
21750798,0.42653356736656084,18,7.736788502659619,0,1,2,3.3,40.782745,-73.953324
50082602,7.200641585915852,0,3.1247215587023582,0,0,1,22.5,40.706142,-74.008145
6898466,1.7983309084662389,12,2.9471772825838074,1,0,1,5.3,40.745087,-73.976838
10526856,0.5800848626882752,14,7.757485653298629,0,0,1,4.5,40.727315,-73.995283
26135896,5.272664407971068,12,3.1293476548698522,0,0,3,16.5,40.736551,-73.996981
6539701,2.0251650037708098,23,3.012100243013257,0,0,1,6.1,40.705677,-74.007921
38673413,2.162362246144168,22,2.6360060670518997,0,0,1,5.7,40.759287,-73.97229499999999
46771692,2.6470942296055098,9,3.211068161055504,0,1,1,8.5,40.709813,-74.011501
33189445,3.1992376981577566,12,3.782150981456502,1,0,1,12.1,40.731258,-73.989056
28667355,3.2127810177108316,6,3.268196600427331,0,0,1,10.5,40.715025,-74.01609
6062119,1.9427517315736649,12,3.551663286595489,1,0,1,6.9,40.760362,-73.994893
47026879,0.8841851637320091,19,7.351401342864094,0,1,4,6.5,40.760282,-73.98255
22324319,0.8632793036367826,12,7.529428740637131,0,0,1,6.5,40.75805,-73.981583
52724832,1.7534059505948474,18,4.277389384617753,0,1,1,7.5,40.772831,-73.946218
10580118,2.588033609824225,19,2.6661168440036747,0,1,1,6.9,40.752692,-73.970311
839384,3.920435659404248,14,5.611621235825392,0,0,1,22.0,40.795727,-73.97272199999999
14912195,3.7896389606887815,18,3.404018201685201,0,1,1,12.9,40.749511,-73.97020699999999
39230685,2.814609703537339,11,3.375245949042459,0,0,1,9.5,40.75994110107422,-73.97423553466798
42086305,1.0057667156650894,13,6.8604378058357165,0,0,1,6.9,40.755162,-73.975277
46635690,2.477566197467225,18,3.2693374684722833,1,1,2,8.1,40.733641,-74.003845
32158256,1.6167924705018122,13,7.112848562704332,0,0,2,11.5,40.740517,-73.989334
16888387,0.7989559268795245,1,4.631043935616147,1,0,2,3.7,40.742088,-73.997088
12426716,1.1904587940955247,0,4.116060147821307,0,0,1,4.9,40.735329,-73.994023
25595450,4.486393024592789,8,2.3404102008992047,1,1,1,10.5,40.739812840404,-73.976280256074
10773273,4.124832139634183,0,2.4485844897668327,1,0,5,10.1,40.770913,-73.956713
48806630,4.733793075849333,21,3.6968240308772184,0,0,4,17.5,40.703275,-74.01116800000001
8903920,4.90045828789996,12,2.754844385337128,1,0,1,13.5,40.719162,-73.993222
51816727,0.9294510111764213,20,6.455423607970153,0,0,1,6.0,40.73820114135742,-73.99002075195312
774975,2.55723139203023,21,3.167488098747791,0,0,3,8.1,40.775343,-73.980237
5533747,2.00470633935811,12,3.840961565705167,0,0,1,7.7,40.764388,-73.973772
27934359,4.493071548256005,10,3.115908538210154,1,0,3,14.0,40.76898,-73.954892
30689731,0.8627181923185349,7,4.636508231326494,0,1,1,4.0,40.771212,-73.990278
5928257,2.7011274214819427,9,3.59109308315348,0,1,1,9.7,40.757478000000006,-73.967663
37742761,2.5525247469979213,12,4.505343195408936,0,0,5,11.5,40.782905,-73.957425
48008353,6.865830133644192,1,3.349922668097272,1,0,1,23.0,40.753327,-73.996143
1784349,6.996013543094441,2,2.572893818618643,0,0,1,18.0,40.734602,-74.00156199999999
42302604,0.5988096333569812,20,5.8449293482115205,0,0,1,3.5,40.718622,-73.95286999999999
52002011,6.788121295640794,19,2.357058647475098,1,1,1,16.0,40.754942,-73.98396
32936860,3.9673135080341053,18,3.4028064514340737,0,1,1,13.5,40.80587,-73.965651
840713,1.9656704810694992,15,3.917238455862916,1,0,1,7.7,40.731352,-73.988749
19237622,0.6515382114067984,21,11.511220475934994,0,0,2,7.5,40.738537,-73.9995
39049427,1.3614789135241718,17,4.774220103912464,0,1,5,6.5,40.764797,-73.968513
34585297,1.5020700008654282,15,5.658857440134391,0,0,1,8.5,40.785777,-73.955278
40814490,7.6434576686074225,13,2.629699917427823,0,0,2,20.1,40.766535,-73.978268
9024866,1.0153235991438485,9,3.939630678704721,1,1,1,4.0,40.759327,-73.99199899999999
24155057,0.8567678651605273,13,5.252297831171414,0,0,5,4.5,40.737917,-73.992088
50733451,6.827434160556492,1,3.368761889038167,1,0,1,23.0,40.697302,-73.928697
28673837,5.782162238564263,19,2.7671309347371187,1,1,1,16.0,40.757111,-73.977609
21194353,1.039283574329017,12,5.48454737551302,0,0,2,5.7,40.75842,-73.970747
26030386,1.3316409393193882,11,4.5057190890110705,0,0,2,6.0,40.739822,-73.98249
3910169,1.9891520660075463,12,4.87644970224373,1,0,2,9.7,40.77531,-73.984197
54197619,3.187588152645492,18,2.509734513023747,0,1,1,8.0,40.770462,-73.992372
43030025,1.1263333242503282,21,3.640130245395077,0,0,3,4.1,40.727892,-73.98503000000001
3716836,1.0942493124951478,9,8.133429830269566,0,1,1,8.9,40.749977,-73.99218499999999
2685191,1.6757755173827467,18,4.773909104779458,0,1,1,8.0,40.72248,-74.004503
1501477,5.600471618034965,19,2.1426766919694584,0,1,2,12.0,40.725662,-73.986685
3937635,1.6753736504122134,18,5.371935984420918,0,1,1,9.0,40.776365000000006,-73.976336
42335310,1.0005514488696168,8,5.9966931303518285,0,1,1,6.0,40.757042,-73.983011
48326723,0.8183879857761821,2,5.987380173173856,0,0,2,4.9,40.727678,-74.005408
20483821,3.824621040296368,13,2.640784510043211,0,0,1,10.1,40.762361,-73.969802
26826838,8.8501918085524,17,4.274483629094107,0,1,5,37.83,40.773817,-73.87089
51448354,1.1087044975011033,17,4.960744736218161,0,1,3,5.5,40.761315,-73.98685
9438603,0.30774702221988165,10,61.414079212425875,0,0,1,18.9,40.765448,-73.971695
43610261,2.3591590488940257,23,3.81491871191101,0,0,2,9.0,40.74033,-74.002077
36766858,2.9490756830879463,18,2.8822590239867085,0,1,1,8.5,40.755345,-73.985795
49965511,0.6732822394981829,11,7.277779974787564,0,0,1,4.9,40.781005,-73.979997
43105877,13.227129151402057,9,3.12237066163539,1,1,1,41.3,40.747843,-74.004142
14860083,2.106134588305156,18,3.276143907570766,1,1,1,6.9,40.781031,-73.956923
34852558,2.9299697836813774,18,3.242354256658466,0,1,1,9.5,40.76291,-73.97006999999999
18356200,9.413302034826888,6,3.4876178283175365,0,0,1,32.83,40.752837,-73.97945899999999
3495768,1.2542867036999916,18,7.972658859016227,0,1,3,10.0,40.76399,-73.97334000000001
30270818,8.000782796468906,13,3.012205257045146,0,0,1,24.1,40.789753000000005,-73.952333
32202974,8.903970975438792,23,3.313128499786717,0,0,3,29.5,40.728709,-74.000219
13268863,1.2560233445766595,19,4.5381322127584935,0,1,1,5.7,40.779773,-73.961813
16598516,2.1863947841460947,10,4.80242638527004,0,0,1,10.5,40.770712,-73.980145
2722731,2.127799391245826,14,5.686626309689586,0,0,2,12.1,40.758604,-73.976579
36146968,3.618346463075948,7,2.76369333397085,0,1,1,10.0,40.784877,-73.97338
37138311,2.9715984027209728,11,2.7258057456832514,1,0,1,8.1,40.778138,-73.982008
49247537,1.6801881000261447,21,3.868614472331316,1,0,1,6.5,40.759543,-73.995565
17869648,0.6680528392908968,2,6.137239090776017,0,0,3,4.1,40.714039,-73.949497
36421414,0.9769059120276514,18,5.425292174759592,0,1,4,5.3,40.762697,-73.968362
32637625,5.153355964939941,14,2.891319773244822,0,0,1,14.9,40.69051,-73.994729
5598428,3.001736404241169,14,3.4979753669124625,0,0,1,10.5,40.728016,-74.0054
15525039,0.651820929234941,8,6.903736591093763,0,1,1,4.5,40.765679,-73.963133
11572937,1.1414805028939268,21,3.942248674936997,0,0,5,4.5,40.782622,-73.981138
45139491,0.8115110962342564,13,8.009748763957338,0,0,6,6.5,40.779465,-73.944598
6457448,4.013745474375387,21,2.5163528839784606,1,0,1,10.1,40.757247,-73.990258
40592811,0.9936049539868267,13,6.038617235074241,0,0,1,6.0,40.739845,-73.998514
33486932,0.572062867654649,23,7.866268297484786,0,0,4,4.5,40.73838,-73.985292
39648436,3.6394113341583947,6,2.5553583110304303,0,0,1,9.3,40.780465,-73.94986999999999
18559676,1.3498557146216628,0,5.185739426944574,0,0,1,7.0,40.758732,-73.996038
29341569,2.0598729448030566,10,5.291588506708671,0,0,1,10.9,40.710646,-74.01517700000001
459109,3.425756602750141,12,2.3644411846123137,1,0,1,8.1,40.737312,-74.00046400000001
54673103,1.0432000278367928,6,5.2722391231190295,0,0,6,5.5,40.739625,-73.982552
9592282,2.081129258478619,19,4.084321031656538,1,1,5,8.5,40.750013,-73.993277
13945162,1.2128264386410383,21,8.657462985194453,0,0,1,10.5,40.7144889831543,-74.00691223144531
11857992,0.5292319228604372,20,6.235451524095301,0,0,1,3.3,40.746947,-74.002332
25323009,8.13889378834569,21,2.027302533868523,0,0,1,16.5,40.801281,-73.968096
16000158,2.2156660482283064,19,3.655785584870487,0,1,1,8.1,40.757859,-73.984941
42256991,2.413935986939626,22,2.858402226625645,0,0,2,6.9,40.737914,-73.986962
18992873,1.4576935722898823,23,6.860152359930529,1,0,2,10.0,40.73044204711913,-73.98065948486328
44076060,1.0872013457366712,15,7.082404772763224,0,0,1,7.7,40.757977,-73.977393
24496442,1.4623772898709406,22,4.1029083544709035,1,0,2,6.0,40.757341,-73.974655
36846177,3.7652571108593103,12,3.0542402979156607,0,0,1,11.5,40.756022,-73.985625
38885065,3.3481716995064548,10,2.7776353289680125,1,0,1,9.3,40.762127,-73.929748
12094754,0.3302701565813875,12,10.597384989998348,0,0,1,3.5,40.740239,-73.981964
23477741,18.308681193999178,10,3.249824461387291,0,0,1,59.5,40.761153,-73.97841899999999
36283529,1.9119925163973366,2,4.02721241530207,0,0,1,7.7,40.753609,-73.992367
46303039,6.629692052590881,19,3.242986224616241,1,1,1,21.5,40.711057,-74.01108
40117524,16.99719105552751,6,2.029747143942384,1,0,5,34.5,40.641193,-73.78654499999999
16537792,5.988644588506383,21,2.504740392974485,0,0,1,15.0,40.80171585083008,-73.94891357421875
9385241,1.5023593282576657,13,3.527784532177518,0,0,1,5.3,40.619333000000005,-73.9904
16942390,2.414313489208984,12,4.556160601829713,1,0,1,11.0,40.704508,-74.008408
25856823,0.500954437833067,21,9.980947611978536,0,0,1,5.0,40.755148,-73.971149
9034430,1.5754306640994722,23,3.8084824275206324,1,0,1,6.0,40.757878000000005,-73.986674
28921060,1.4474273204534933,8,3.6616691733713145,0,1,1,5.3,40.749932,-73.99197
26838709,7.968319206660357,0,2.258945648783073,0,0,1,18.0,40.74335,-73.99985699999999
15104139,8.244194745939682,23,3.517626753575015,0,0,2,29.0,40.740972,-74.007632
21047247,3.084340083157584,16,4.5390584768679405,0,0,6,14.0,40.786937,-73.968142
55312079,18.46388061377044,21,2.094359295800459,0,0,5,38.67,40.758485,-73.97121800000001
523275,4.170274953488255,22,2.3979234250814643,0,0,1,10.0,40.787507,-73.97519799999999
16143014,2.6510682282116544,23,3.357137287260133,1,0,2,8.9,40.740977,-74.0076
13418123,0.858982546057002,11,6.985008051143615,0,0,2,6.0,40.766087,-73.97172900000001
46068231,2.246068652811222,22,3.6063011653102794,0,0,1,8.1,40.731134,-73.982573
29610552,1.0404246223461657,23,6.247449224473801,0,0,2,6.5,40.752284,-73.978482
21569009,0.672071404345586,9,6.6957171081869955,0,1,1,4.5,40.742415,-74.004087
45468882,3.055346408582808,22,3.9275415600308574,0,0,6,12.0,40.765145,-73.98411
9064260,1.1568710327433855,20,3.889802642329778,0,0,3,4.5,40.747282,-73.98609
35682148,2.2455453225181663,19,3.7852720738978696,0,1,1,8.5,40.73947,-73.976483
7535698,1.2591469181466024,10,5.162225238630339,0,0,1,6.5,40.76414489746094,-73.95415496826173
54159257,1.2060007152229497,17,4.975121427594509,1,1,1,6.0,40.754592,-73.99163
34745109,21.51218451699664,12,2.4172347517247785,0,0,1,52.0,40.763992,-73.983192
35181171,3.508096703391629,11,2.8790540438167844,0,0,1,10.1,40.76156,-74.00018
18090674,0.6810089922726386,16,5.433114748826582,0,0,1,3.7,40.704726,-74.00790500000001
431857,2.6135756573093256,7,4.629672749728983,0,1,1,12.1,40.789198,-73.975788
42886983,6.419073918643648,2,2.570464245952546,0,0,1,16.5,40.705745,-74.009247
889100,2.8704864044558476,23,2.403773795719482,0,0,2,6.9,40.756787,-73.967223
44571562,3.3539945336674104,20,3.011334663374123,0,0,1,10.1,40.729757,-73.99329300000001
5376188,4.585176670427048,4,2.3772257392613865,0,0,1,10.9,40.746091,-73.977723
25070705,6.3035358489565905,22,2.046470474525073,0,0,5,12.9,40.724707,-73.998665
22213904,1.8988831055475426,19,3.423064843228318,1,1,2,6.5,40.790439,-73.974962
38777533,1.2983954635789805,9,4.235997547957729,0,1,1,5.5,40.748151,-73.99296899999999
3059906,3.5512267092521523,7,2.2809019708307408,0,1,1,8.1,40.785263,-73.95779300000001
51079292,1.2074858578302021,14,5.383085820715291,0,0,5,6.5,40.734782,-73.994055
33634346,5.3028788433086405,1,2.508071632973929,1,0,2,13.3,40.733229,-73.987374
50910304,1.4864998575948019,11,3.2963339854793774,0,0,1,4.9,40.772024,-73.96102900000001
39575525,1.4442184050028049,22,3.946771471859847,0,0,1,5.7,40.731526,-73.994568
18487156,0.49609873019440864,16,9.87706620026988,0,0,1,4.9,40.757142,-73.963732
7897969,1.6571914951958546,12,4.405043123358084,0,0,1,7.3,40.720826,-73.981055
32245646,17.61321718115142,15,2.026886947048149,0,0,1,35.7,40.736587,-73.989032
26644000,2.20254204302181,8,3.314352170088276,0,1,1,7.3,40.740022,-74.00315
12907350,1.6728526367288366,1,4.4833596428827125,0,0,1,7.5,40.75878143310547,-73.98674774169923
49527536,0.9476153211750961,21,11.924670008487588,1,0,1,11.3,40.777095,-73.98224499999999
21998852,1.6623640733111487,7,4.51164706962252,0,1,1,7.5,40.71189498901367,-74.00696563720702
27539338,3.2456304451475595,10,2.2491778171831,1,0,1,7.3,40.71896,-74.012357
39249141,2.4046483439574393,7,3.326889779997534,0,1,1,8.0,40.762517,-73.9591
23534140,1.0460639921848838,22,3.919454288294971,0,0,1,4.1,40.74126,-73.994005
1314100,3.345623394070578,9,3.497106106065559,0,1,3,11.7,40.727343,-74.000757
5172589,5.801103434394511,7,2.2926672744955434,0,1,1,13.3,40.747269,-73.974021
14484022,6.947938702345769,2,3.022479169672289,1,0,2,21.0,40.751312,-73.984622
37437368,1.4700127584354858,12,5.4421296373742285,0,0,1,8.0,40.76313,-73.975365
47471930,2.62690562424756,14,3.6164222697270065,0,0,2,9.5,40.779068,-73.96226300000001
52550565,1.9395106558404536,18,3.970073573358811,0,1,1,7.7,40.730752,-73.990617
49994737,2.423470873956161,18,3.7136819330979116,0,1,1,9.0,40.757104,-73.97051
14909593,2.212357896188405,9,4.746067540920972,0,1,1,10.5,40.737532,-73.984117
15563114,2.6177696920178946,3,2.3302279106523867,0,0,1,6.1,40.72415,-73.992302
15309469,1.631990300808251,17,5.514738657173824,0,1,1,9.0,40.800071716308594,-73.94468688964845
5397652,2.470677381039705,18,2.7927563723825237,0,1,2,6.9,40.730627,-74.006872
41625967,0.9264998591253223,18,4.856989405533532,0,1,1,4.5,40.770667,-73.982712
48799298,1.7635082326033602,17,3.912655394760448,0,1,1,6.9,40.743302,-73.982027
34613508,0.8809198107506787,23,6.016438653461076,0,0,2,5.3,40.763812,-73.981955
18356390,3.1500211951824846,12,3.0158527233178356,0,0,5,9.5,40.759342,-73.968347
15167447,1.253945306571048,19,5.582380637590738,0,1,1,7.0,40.741755,-73.9893
15477009,2.7551163726266807,21,5.807377197917006,0,0,3,16.0,40.790433,-73.975212
28783366,1.6934776452253177,21,4.546856595190256,0,0,3,7.7,40.733022,-73.995575
7561735,2.811392770290743,22,3.4502471879789547,0,0,2,9.7,40.761429,-73.963699
8359678,4.61150456630421,23,2.3636537367099626,0,0,1,10.9,40.75858,-73.963543
39201618,1.2707873948721597,23,6.688766377679638,1,0,5,8.5,40.72608,-73.991197
51556187,3.1818517452150603,0,3.2999651903298557,1,0,1,10.5,40.753749,-73.978876
19841452,1.878734354391634,10,2.927502755854482,0,0,1,5.5,40.78847122192383,-73.94701385498048
12077963,1.7194869969947262,19,5.815688061309992,0,1,1,10.0,40.76675796508789,-73.98662567138672
3363801,2.710814559955559,23,2.9511424787873177,1,0,6,8.0,40.764237,-73.98209200000001
42918397,1.9826219551708084,22,3.6819929190036054,0,0,1,7.3,40.762039,-73.960173
11246386,0.2501689193518171,9,22.784604957196887,1,1,1,5.7,40.766522,-73.9783
4053800,1.4938751038675222,1,6.359300034792243,1,0,1,9.5,40.718982,-74.0032
45334549,3.8024598231646602,16,3.1558518848498447,0,0,1,12.0,40.720264,-73.961901
45816457,0.8620522804061769,12,8.700168389399995,0,0,1,7.5,40.734235,-73.990185
17428991,2.602406622691893,20,4.995376159377039,0,0,1,13.0,40.752965,-73.981073
7038251,2.1185166347715456,22,4.012241329847577,0,0,1,8.5,40.735735,-74.00603199999999
17415673,6.285290414295733,5,2.2274229315096337,1,0,1,14.0,40.730305,-73.98046
41924694,4.023592321818115,22,2.2119537190036227,0,0,2,8.9,40.740148,-74.00574300000001
2499143,1.3935339250604972,19,6.386640353670347,0,1,2,8.9,40.749817,-73.972197
34158547,2.3279964128428317,12,5.584201044418731,0,0,6,13.0,40.772747,-73.953538
19119868,11.790865378371091,3,2.2347808370652653,0,0,1,26.35,40.737938,-73.983715
25932667,3.4551939992950222,17,3.3862063902597654,1,1,1,11.7,40.719918,-74.00155699999999
18423862,6.493411732984452,7,2.7874406774573988,0,1,1,18.1,40.785738,-73.969163
43782192,0.7186499464848812,17,6.26174123022031,1,1,1,4.5,40.77447891235352,-73.95734405517578
34218273,3.9508601740063876,8,3.670086857388377,0,1,1,14.5,40.727325,-74.005717
46142140,1.2400369779405356,22,5.241779169194824,1,0,1,6.5,40.78266,-73.950807
36556204,2.8870686342287715,23,3.0827116108299504,0,0,5,8.9,40.750348,-73.991268
322683,1.1369767842366638,8,6.156678040440038,0,1,1,7.0,40.76915,-73.96736
44618103,2.0123416951556834,11,3.230067744283921,1,0,1,6.5,40.725570000000005,-73.983867
21433626,1.6049256200168456,17,3.053100990405131,0,1,1,4.9,40.726132,-74.002085
26105506,0.9096990656167736,14,4.946690801478412,0,0,2,4.5,40.780373,-73.98128100000001
30515821,10.172781597299966,19,1.8972195377833097,0,1,1,19.3,40.648768,-73.783282
37246935,0.6966383928711024,16,8.756336231857192,0,0,1,6.1,40.755897,-73.971037
29582187,2.5259641609749783,13,4.354772791294945,1,0,1,11.0,40.781828,-73.98298199999999
26441299,0.16285326143605114,8,18.421491676284504,1,1,1,3.0,40.734072,-73.980677
51850253,1.8286645678464641,17,4.374777168358022,0,1,1,8.0,40.778228000000006,-73.958667
41913513,0.8999663348026009,17,4.111264896160321,0,1,1,3.7,40.767907,-73.955802
37038730,2.808016128502356,17,2.74214949189297,0,1,2,7.7,40.749727,-73.97221
13336883,2.5546530849979128,11,5.67591744066958,0,0,1,14.5,40.786128997802734,-73.94583892822266
54664991,0.8657800889073156,23,4.7356136419983175,0,0,1,4.1,40.781535,-73.96037700000001
36694234,1.2303330987652519,11,5.68951612130497,0,0,1,7.0,40.767954,-73.98325200000001
55011754,1.2336721542302116,21,4.052940631637995,1,0,1,5.0,40.788863,-73.97631700000001
13606973,1.0328289623139806,18,4.356965348762167,0,1,1,4.5,40.775637,-73.960374
48629609,7.128188663764754,14,2.932021160753293,0,0,1,20.9,40.77514,-73.96269000000001
14588867,7.129237590636816,18,3.212124677970575,1,1,1,22.9,40.751778,-73.977127
22463701,3.849338622772764,12,2.7277413158410617,0,0,2,10.5,40.71492,-74.01419
1570504,2.688396459231723,23,3.161736049313608,0,0,1,8.5,40.72609,-73.980145
11192013,1.1347104627531386,16,3.965769372639508,1,0,2,4.5,40.78322,-73.978268
11624577,1.1075434095046368,8,5.4173948835861685,0,1,1,6.0,40.76295,-73.962843
48134031,0.6227240729273662,19,6.423390669958178,0,1,1,4.0,40.807762,-73.96175699999999
